ChargeSheet_ID,FIR_ID,Accused_ID,Crime_Type,Sections,Investigating_Officer,Court,Witness_Count,Evidence_Count,ChargeSheet_Date,Status
CS202500430,FIR202500870,P007889,Assault,"BNS 115(2), BNS 117(2)",PI Naveen Patil,Bidar District & Sessions Court,9,24,2025-05-30,Pending Scrutiny
CS202500603,FIR202501265,P009766,Fraud,BNS 318(4),SI Divya Hegde,Bengaluru Urban District & Sessions Court,5,12,2025-05-30,Returned for Correction
CS202500585,FIR202501203,P008044,Assault,"BNS 115(2), BNS 117(2)",PI Ramesh Gowda,Belagavi District & Sessions Court,13,6,2025-05-31,Pending Scrutiny
CS202500355,FIR202500690,P000187,POCSO,"POCSO Act Sec 4, BNS 64",PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,14,3,2025-05-31,Returned for Correction
CS202500324,FIR202500658,P002699,Dacoity,BNS 310(2),PI Chetan Kumar,Bengaluru Rural District & Sessions Court,14,22,2025-05-31,Pending Scrutiny
CS202500483,FIR202500946,P001984,Murder,BNS 103(1),PI Chetan Kumar,Chikkaballapura District & Sessions Court,6,22,2025-05-31,Filed
CS202500570,FIR202501196,P006388,Theft,BNS 303(2),PI Chetan Kumar,Bengaluru Rural District & Sessions Court,15,22,2025-05-31,Returned for Correction
CS202500408,FIR202500815,P008795,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Divya Hegde,Bengaluru Rural District & Sessions Court,18,24,2025-05-31,Accepted
CS202500524,FIR202501052,P001004,Assault,"BNS 115(2), BNS 117(2)",PI Naveen Patil,Belagavi District & Sessions Court,11,27,2025-05-31,Returned for Correction
CS202500375,FIR202500732,P001753,NDPS,NDPS Act Sec 20(b),SI Mahesh Bhat,Bidar District & Sessions Court,7,16,2025-05-31,Filed
CS202500409,FIR202500816,P001564,NDPS,NDPS Act Sec 20(b),SI Prakash Sharma,Bidar District & Sessions Court,5,14,2025-06-01,Accepted
CS202500584,FIR202501231,P003700,Vehicle Theft,BNS 303(2),PI Suresh Kulkarni,Bidar District & Sessions Court,16,20,2025-06-01,Accepted
CS202500244,FIR202500516,P001145,Vehicle Theft,BNS 303(2),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,15,22,2025-06-01,Returned for Correction
CS202500319,FIR202500650,P003936,Theft,BNS 303(2),SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,16,24,2025-06-01,Pending Scrutiny
CS202500385,FIR202500745,P005040,NDPS,NDPS Act Sec 20(b),SI Mahesh Bhat,Bidar District & Sessions Court,8,9,2025-06-02,Accepted
CS202500443,FIR202500903,P006994,Vehicle Theft,BNS 303(2),PI Lakshmi Devi,Bengaluru Rural District & Sessions Court,10,13,2025-06-02,Pending Scrutiny
CS202500532,FIR202501109,P004379,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ganesh Rao,Bengaluru Urban District & Sessions Court,11,27,2025-06-02,Accepted
CS202500535,FIR202501088,P004902,Burglary,"BNS 331(3), BNS 331(4)",SI Ganesh Rao,Belagavi District & Sessions Court,12,12,2025-06-02,Filed
CS202500433,FIR202500874,P002888,POCSO,"POCSO Act Sec 4, BNS 64",PI Naveen Patil,Bengaluru Rural District & Sessions Court,8,8,2025-06-02,Returned for Correction
CS202500377,FIR202500713,P007852,POCSO,"POCSO Act Sec 4, BNS 64",PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,8,10,2025-06-02,Accepted
CS202500635,FIR202501335,P007389,Assault,"BNS 115(2), BNS 117(2)",PI Lakshmi Devi,Chamarajanagar District & Sessions Court,13,3,2025-06-03,Pending Scrutiny
CS202500574,FIR202501185,P002747,Murder,BNS 103(1),PI Chetan Kumar,Chikkaballapura District & Sessions Court,7,13,2025-06-03,Returned for Correction
CS202500268,FIR202500554,P009322,Murder,BNS 103(1),PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,18,18,2025-06-03,Returned for Correction
CS202500652,FIR202501361,P005889,Murder,BNS 103(1),PI Lakshmi Devi,Chikkaballapura District & Sessions Court,18,28,2025-06-03,Returned for Correction
CS202500437,FIR202500882,P009696,Dacoity,BNS 310(2),PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,5,7,2025-06-03,Accepted
CS202500664,FIR202501410,P006822,Theft,BNS 303(2),PI Harish Naik,Bagalkote District & Sessions Court,12,21,2025-06-04,Filed
CS202500615,FIR202501283,P008191,Vehicle Theft,BNS 303(2),SI Ravi Kumar,Bengaluru Urban District & Sessions Court,16,3,2025-06-04,Pending Scrutiny
CS202500482,FIR202500968,P006911,Theft,BNS 303(2),PI Naveen Patil,Bengaluru Urban District & Sessions Court,17,18,2025-06-04,Returned for Correction
CS202500588,FIR202501146,P006600,Murder,BNS 103(1),PI Chetan Kumar,Bengaluru Urban District & Sessions Court,14,27,2025-06-04,Returned for Correction
CS202500422,FIR202500835,P008224,Vehicle Theft,BNS 303(2),SI Prakash Sharma,Bengaluru Rural District & Sessions Court,18,7,2025-06-04,Pending Scrutiny
CS202500632,FIR202501321,P009814,Assault,"BNS 115(2), BNS 117(2)",SI Divya Hegde,Bengaluru Rural District & Sessions Court,16,23,2025-06-04,Pending Scrutiny
CS202500564,FIR202501132,P000564,Fraud,BNS 318(4),PI Lakshmi Devi,Chamarajanagar District & Sessions Court,12,29,2025-06-04,Filed
CS202500673,FIR202501401,P002146,Burglary,"BNS 331(3), BNS 331(4)",SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,4,17,2025-06-04,Filed
CS202500454,FIR202500919,P005933,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,11,3,2025-06-04,Accepted
CS202500473,FIR202500955,P008037,Assault,"BNS 115(2), BNS 117(2)",SI Mahesh Bhat,Ballari District & Sessions Court,4,30,2025-06-05,Accepted
CS202500681,FIR202501428,P009516,NDPS,NDPS Act Sec 20(b),PI Harish Naik,Bagalkote District & Sessions Court,9,21,2025-06-05,Pending Scrutiny
CS202500539,FIR202501121,P004158,POCSO,"POCSO Act Sec 4, BNS 64",SI Prakash Sharma,Belagavi District & Sessions Court,6,18,2025-06-05,Accepted
CS202500638,FIR202501353,P009244,Dacoity,BNS 310(2),SI Divya Hegde,Ballari District & Sessions Court,16,28,2025-06-05,Returned for Correction
CS202500507,FIR202501041,P009885,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,8,11,2025-06-05,Returned for Correction
CS202500679,FIR202501423,P009155,Assault,"BNS 115(2), BNS 117(2)",PI Chetan Kumar,Ballari District & Sessions Court,2,4,2025-06-05,Accepted
CS202500529,FIR202501075,P004816,Fraud,BNS 318(4),PI Naveen Patil,Bengaluru Rural District & Sessions Court,9,7,2025-06-05,Filed
CS202500349,FIR202500694,P009684,Burglary,"BNS 331(3), BNS 331(4)",SI Prakash Sharma,Bengaluru Rural District & Sessions Court,17,20,2025-06-06,Pending Scrutiny
CS202500477,FIR202500972,P007202,Fraud,BNS 318(4),PI Chetan Kumar,Bengaluru Urban District & Sessions Court,9,28,2025-06-06,Returned for Correction
CS202500506,FIR202501004,P000058,Vehicle Theft,BNS 303(2),PI Naveen Patil,Bengaluru Rural District & Sessions Court,7,28,2025-06-06,Returned for Correction
CS202500390,FIR202500777,P006890,Dacoity,BNS 310(2),SI Ganesh Rao,Chamarajanagar District & Sessions Court,13,10,2025-06-06,Accepted
CS202500431,FIR202500857,P006213,Fraud,BNS 318(4),SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,16,14,2025-06-06,Filed
CS202500284,FIR202500575,P003640,Burglary,"BNS 331(3), BNS 331(4)",SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,7,27,2025-06-06,Accepted
CS202500361,FIR202500716,P002701,Theft,BNS 303(2),SI Ravi Kumar,Bidar District & Sessions Court,16,18,2025-06-07,Pending Scrutiny
CS202500367,FIR202500739,P005850,Assault,"BNS 115(2), BNS 117(2)",PI Harish Naik,Bengaluru Rural District & Sessions Court,13,3,2025-06-07,Returned for Correction
CS202500654,FIR202501366,P009819,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ganesh Rao,Bengaluru Urban District & Sessions Court,4,25,2025-06-07,Pending Scrutiny
CS202500642,FIR202501343,P000700,Fraud,BNS 318(4),PI Harish Naik,Bengaluru Urban District & Sessions Court,4,16,2025-06-07,Returned for Correction
CS202500381,FIR202500748,P001701,POCSO,"POCSO Act Sec 4, BNS 64",SI Prakash Sharma,Bengaluru Rural District & Sessions Court,10,29,2025-06-08,Pending Scrutiny
CS202500365,FIR202500704,P008010,Fraud,BNS 318(4),SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,16,17,2025-06-08,Returned for Correction
CS202500573,FIR202501181,P002219,Vehicle Theft,BNS 303(2),SI Ravi Kumar,Bengaluru Urban District & Sessions Court,11,17,2025-06-08,Filed
CS202500426,FIR202500858,P009660,Vehicle Theft,BNS 303(2),PI Lakshmi Devi,Bengaluru Rural District & Sessions Court,10,22,2025-06-08,Filed
CS202500531,FIR202501107,P004068,Robbery,BNS 309(4),PI Ramesh Gowda,Chamarajanagar District & Sessions Court,8,26,2025-06-08,Pending Scrutiny
CS202500669,FIR202501382,P004209,Burglary,"BNS 331(3), BNS 331(4)",PI Harish Naik,Bengaluru Rural District & Sessions Court,14,16,2025-06-08,Returned for Correction
CS202500313,FIR202500620,P000329,Assault,"BNS 115(2), BNS 117(2)",PI Naveen Patil,Ballari District & Sessions Court,13,29,2025-06-08,Returned for Correction
CS202500672,FIR202501422,P002865,Robbery,BNS 309(4),SI Prakash Sharma,Bengaluru Rural District & Sessions Court,2,18,2025-06-09,Filed
CS202500279,FIR202500561,P003843,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Lakshmi Devi,Ballari District & Sessions Court,14,30,2025-06-09,Filed
CS202500596,FIR202501174,P004653,Vehicle Theft,BNS 303(2),PI Chetan Kumar,Bengaluru Rural District & Sessions Court,18,26,2025-06-09,Returned for Correction
CS202500590,FIR202501238,P006589,Burglary,"BNS 331(3), BNS 331(4)",PI Chetan Kumar,Chamarajanagar District & Sessions Court,13,16,2025-06-09,Filed
CS202500658,FIR202501397,P007296,Robbery,BNS 309(4),SI Mahesh Bhat,Bagalkote District & Sessions Court,15,26,2025-06-10,Pending Scrutiny
CS202500376,FIR202500736,P005201,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,17,27,2025-06-10,Accepted
CS202500436,FIR202500872,P008237,Murder,BNS 103(1),SI Ganesh Rao,Bengaluru Urban District & Sessions Court,10,6,2025-06-10,Pending Scrutiny
CS202500686,FIR202501441,P005608,Dacoity,BNS 310(2),SI Ganesh Rao,Chamarajanagar District & Sessions Court,9,14,2025-06-10,Filed
CS202500322,FIR202500661,P000160,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Ramesh Gowda,Chamarajanagar District & Sessions Court,5,10,2025-06-10,Filed
CS202500453,FIR202500916,P003582,Murder,BNS 103(1),PI Chetan Kumar,Chamarajanagar District & Sessions Court,18,9,2025-06-10,Returned for Correction
CS202500366,FIR202500729,P001636,Assault,"BNS 115(2), BNS 117(2)",PI Chetan Kumar,Bengaluru Rural District & Sessions Court,12,11,2025-06-10,Pending Scrutiny
CS202500710,FIR202501491,P003365,Murder,BNS 103(1),PI Naveen Patil,Bengaluru Urban District & Sessions Court,12,29,2025-06-10,Filed
CS202500462,FIR202500933,P002175,Theft,BNS 303(2),PI Harish Naik,Bengaluru Urban District & Sessions Court,13,27,2025-06-10,Returned for Correction
CS202500576,FIR202501098,P006436,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Chetan Kumar,Bengaluru Rural District & Sessions Court,17,15,2025-06-11,Filed
CS202500297,FIR202500606,P008487,Fraud,BNS 318(4),SI Prakash Sharma,Belagavi District & Sessions Court,13,20,2025-06-11,Accepted
CS202500481,FIR202500977,P006388,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Chetan Kumar,Bengaluru Urban District & Sessions Court,12,3,2025-06-11,Filed
CS202500327,FIR202500659,P006882,POCSO,"POCSO Act Sec 4, BNS 64",PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,17,11,2025-06-11,Accepted
CS202500498,FIR202501010,P002612,Fraud,BNS 318(4),PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,7,4,2025-06-12,Pending Scrutiny
CS202500382,FIR202500759,P000420,Dacoity,BNS 310(2),SI Ganesh Rao,Chikkaballapura District & Sessions Court,5,26,2025-06-12,Returned for Correction
CS202500714,FIR202501517,P008770,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ravi Kumar,Chikkaballapura District & Sessions Court,11,24,2025-06-12,Pending Scrutiny
CS202500472,FIR202500952,P005550,Murder,BNS 103(1),SI Divya Hegde,Bengaluru Rural District & Sessions Court,13,27,2025-06-12,Pending Scrutiny
CS202500586,FIR202501205,P009141,Dacoity,BNS 310(2),SI Ganesh Rao,Bengaluru Urban District & Sessions Court,12,16,2025-06-12,Returned for Correction
CS202500712,FIR202501514,P008460,Theft,BNS 303(2),PI Ramesh Gowda,Belagavi District & Sessions Court,15,4,2025-06-13,Returned for Correction
CS202500538,FIR202501117,P006026,Vehicle Theft,BNS 303(2),PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,7,3,2025-06-13,Accepted
CS202500620,FIR202501297,P007671,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Harish Naik,Bengaluru Rural District & Sessions Court,17,25,2025-06-13,Pending Scrutiny
CS202500457,FIR202500928,P009464,Assault,"BNS 115(2), BNS 117(2)",PI Harish Naik,Bengaluru Rural District & Sessions Court,3,17,2025-06-14,Filed
CS202500640,FIR202501330,P002079,Vehicle Theft,BNS 303(2),PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,5,30,2025-06-14,Filed
CS202500567,FIR202501166,P001119,Theft,BNS 303(2),SI Mahesh Bhat,Belagavi District & Sessions Court,14,16,2025-06-14,Filed
CS202500548,FIR202501150,P009735,Fraud,BNS 318(4),SI Ganesh Rao,Chikkaballapura District & Sessions Court,7,8,2025-06-14,Accepted
CS202500444,FIR202500885,P001814,Assault,"BNS 115(2), BNS 117(2)",SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,8,20,2025-06-14,Pending Scrutiny
CS202500559,FIR202501106,P005547,Theft,BNS 303(2),SI Ganesh Rao,Bengaluru Rural District & Sessions Court,17,26,2025-06-14,Pending Scrutiny
CS202500446,FIR202500879,P004677,Fraud,BNS 318(4),SI Ganesh Rao,Bengaluru Rural District & Sessions Court,18,16,2025-06-15,Filed
CS202500542,FIR202501091,P004177,Vehicle Theft,BNS 303(2),SI Divya Hegde,Bengaluru Urban District & Sessions Court,2,26,2025-06-15,Filed
CS202500577,FIR202501211,P003310,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Naveen Patil,Belagavi District & Sessions Court,3,24,2025-06-15,Accepted
CS202500627,FIR202501318,P009163,POCSO,"POCSO Act Sec 4, BNS 64",SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,6,11,2025-06-16,Pending Scrutiny
CS202500407,FIR202500769,P000931,Assault,"BNS 115(2), BNS 117(2)",PI Lakshmi Devi,Bagalkote District & Sessions Court,4,21,2025-06-16,Returned for Correction
CS202500562,FIR202501151,P005100,Assault,"BNS 115(2), BNS 117(2)",SI Divya Hegde,Chamarajanagar District & Sessions Court,15,22,2025-06-16,Filed
CS202500631,FIR202501340,P003102,Assault,"BNS 115(2), BNS 117(2)",SI Mahesh Bhat,Bidar District & Sessions Court,7,24,2025-06-16,Returned for Correction
CS202500688,FIR202501429,P008254,Assault,"BNS 115(2), BNS 117(2)",SI Divya Hegde,Bengaluru Rural District & Sessions Court,12,8,2025-06-16,Returned for Correction
CS202500647,FIR202501356,P009170,Theft,BNS 303(2),SI Mahesh Bhat,Bidar District & Sessions Court,2,21,2025-06-16,Returned for Correction
CS202500569,FIR202501195,P002527,Burglary,"BNS 331(3), BNS 331(4)",SI Ganesh Rao,Chamarajanagar District & Sessions Court,6,7,2025-06-16,Accepted
CS202500583,FIR202501210,P006289,Fraud,BNS 318(4),SI Ganesh Rao,Bengaluru Urban District & Sessions Court,3,27,2025-06-16,Filed
CS202500412,FIR202500817,P009154,Fraud,BNS 318(4),PI Ramesh Gowda,Chamarajanagar District & Sessions Court,13,12,2025-06-16,Pending Scrutiny
CS202500666,FIR202501412,P008534,Dacoity,BNS 310(2),SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,17,6,2025-06-16,Accepted
CS202500397,FIR202500792,P004451,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ganesh Rao,Bagalkote District & Sessions Court,7,13,2025-06-16,Filed
CS202500530,FIR202501103,P003902,Assault,"BNS 115(2), BNS 117(2)",SI Prakash Sharma,Bidar District & Sessions Court,10,11,2025-06-16,Pending Scrutiny
CS202500774,FIR202501649,P008857,Dacoity,BNS 310(2),SI Mahesh Bhat,Chamarajanagar District & Sessions Court,2,4,2025-06-17,Accepted
CS202500623,FIR202501296,P005665,Vehicle Theft,BNS 303(2),SI Mahesh Bhat,Belagavi District & Sessions Court,18,17,2025-06-17,Returned for Correction
CS202500769,FIR202501604,P002755,Assault,"BNS 115(2), BNS 117(2)",PI Chetan Kumar,Bidar District & Sessions Court,5,6,2025-06-17,Accepted
CS202500517,FIR202501070,P006418,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,17,4,2025-06-17,Returned for Correction
CS202500651,FIR202501373,P003668,Theft,BNS 303(2),SI Ganesh Rao,Bengaluru Urban District & Sessions Court,9,25,2025-06-17,Filed
CS202500748,FIR202501569,P002141,Assault,"BNS 115(2), BNS 117(2)",SI Prakash Sharma,Belagavi District & Sessions Court,13,4,2025-06-17,Pending Scrutiny
CS202500618,FIR202501243,P007721,Fraud,BNS 318(4),PI Suresh Kulkarni,Ballari District & Sessions Court,8,7,2025-06-17,Pending Scrutiny
CS202500671,FIR202501420,P005020,Theft,BNS 303(2),PI Naveen Patil,Bengaluru Rural District & Sessions Court,12,30,2025-06-18,Accepted
CS202500724,FIR202501537,P005016,Robbery,BNS 309(4),PI Ramesh Gowda,Bidar District & Sessions Court,2,24,2025-06-18,Returned for Correction
CS202500271,FIR202500560,P005639,NDPS,NDPS Act Sec 20(b),SI Prakash Sharma,Bidar District & Sessions Court,12,19,2025-06-18,Accepted
CS202500415,FIR202500820,P000552,NDPS,NDPS Act Sec 20(b),SI Ravi Kumar,Chamarajanagar District & Sessions Court,12,28,2025-06-18,Filed
CS202500587,FIR202501247,P000586,Assault,"BNS 115(2), BNS 117(2)",SI Ravi Kumar,Bidar District & Sessions Court,11,29,2025-06-18,Accepted
CS202500400,FIR202500802,P008379,Vehicle Theft,BNS 303(2),SI Divya Hegde,Bidar District & Sessions Court,18,20,2025-06-18,Accepted
CS202500459,FIR202500939,P001817,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ravi Kumar,Chikkaballapura District & Sessions Court,15,25,2025-06-18,Accepted
CS202500611,FIR202501274,P001789,Vehicle Theft,BNS 303(2),SI Ravi Kumar,Bengaluru Urban District & Sessions Court,16,11,2025-06-18,Accepted
CS202500413,FIR202500819,P007318,Dacoity,BNS 310(2),PI Harish Naik,Bagalkote District & Sessions Court,14,30,2025-06-19,Pending Scrutiny
CS202500339,FIR202500685,P002841,Vehicle Theft,BNS 303(2),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,5,26,2025-06-19,Pending Scrutiny
CS202500514,FIR202501064,P009788,Theft,BNS 303(2),PI Ramesh Gowda,Belagavi District & Sessions Court,15,21,2025-06-19,Pending Scrutiny
CS202500543,FIR202501066,P002913,NDPS,NDPS Act Sec 20(b),SI Prakash Sharma,Bengaluru Rural District & Sessions Court,6,4,2025-06-19,Filed
CS202500512,FIR202501042,P003936,Burglary,"BNS 331(3), BNS 331(4)",SI Ravi Kumar,Bengaluru Urban District & Sessions Court,4,29,2025-06-19,Accepted
CS202500418,FIR202500826,P007204,POCSO,"POCSO Act Sec 4, BNS 64",SI Ganesh Rao,Bengaluru Rural District & Sessions Court,16,27,2025-06-19,Filed
CS202500427,FIR202500840,P005930,Vehicle Theft,BNS 303(2),SI Prakash Sharma,Bengaluru Urban District & Sessions Court,14,3,2025-06-19,Filed
CS202500808,FIR202501668,P008309,Burglary,"BNS 331(3), BNS 331(4)",SI Mahesh Bhat,Belagavi District & Sessions Court,16,26,2025-06-20,Accepted
CS202500656,FIR202501337,P000522,Murder,BNS 103(1),SI Prakash Sharma,Bengaluru Rural District & Sessions Court,8,21,2025-06-20,Accepted
CS202500757,FIR202501606,P008021,POCSO,"POCSO Act Sec 4, BNS 64",PI Naveen Patil,Bidar District & Sessions Court,9,19,2025-06-20,Accepted
CS202500743,FIR202501500,P008582,Burglary,"BNS 331(3), BNS 331(4)",PI Lakshmi Devi,Belagavi District & Sessions Court,4,27,2025-06-20,Filed
CS202500552,FIR202501076,P002818,Fraud,BNS 318(4),SI Prakash Sharma,Chikkaballapura District & Sessions Court,16,7,2025-06-20,Filed
CS202500399,FIR202500797,P003914,Theft,BNS 303(2),PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,6,12,2025-06-20,Accepted
CS202500536,FIR202501112,P005589,Assault,"BNS 115(2), BNS 117(2)",SI Prakash Sharma,Bengaluru Rural District & Sessions Court,16,28,2025-06-20,Filed
CS202500579,FIR202501214,P006220,NDPS,NDPS Act Sec 20(b),PI Suresh Kulkarni,Belagavi District & Sessions Court,16,5,2025-06-20,Pending Scrutiny
CS202500480,FIR202500975,P004366,Fraud,BNS 318(4),PI Harish Naik,Ballari District & Sessions Court,11,4,2025-06-21,Pending Scrutiny
CS202500448,FIR202500873,P003316,Vehicle Theft,BNS 303(2),SI Divya Hegde,Bengaluru Rural District & Sessions Court,15,30,2025-06-21,Filed
CS202500756,FIR202501608,P006363,Dacoity,BNS 310(2),PI Chetan Kumar,Bengaluru Rural District & Sessions Court,11,22,2025-06-21,Filed
CS202500434,FIR202500852,P006744,Fraud,BNS 318(4),PI Naveen Patil,Bengaluru Rural District & Sessions Court,16,9,2025-06-21,Filed
CS202500560,FIR202501176,P002579,Robbery,BNS 309(4),SI Mahesh Bhat,Chamarajanagar District & Sessions Court,8,16,2025-06-21,Filed
CS202500420,FIR202500830,P005144,Vehicle Theft,BNS 303(2),SI Ganesh Rao,Bengaluru Rural District & Sessions Court,10,15,2025-06-21,Filed
CS202500424,FIR202500851,P009559,Assault,"BNS 115(2), BNS 117(2)",PI Suresh Kulkarni,Bengaluru Urban District & Sessions Court,18,17,2025-06-22,Accepted
CS202500729,FIR202501513,P008424,Murder,BNS 103(1),PI Chetan Kumar,Bidar District & Sessions Court,16,13,2025-06-22,Accepted
CS202500663,FIR202501387,P004528,Assault,"BNS 115(2), BNS 117(2)",PI Suresh Kulkarni,Bengaluru Urban District & Sessions Court,3,23,2025-06-22,Accepted
CS202500817,FIR202501709,P003017,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ganesh Rao,Chamarajanagar District & Sessions Court,13,28,2025-06-22,Pending Scrutiny
CS202500709,FIR202501512,P001919,Burglary,"BNS 331(3), BNS 331(4)",PI Suresh Kulkarni,Ballari District & Sessions Court,10,18,2025-06-23,Returned for Correction
CS202500555,FIR202501162,P009954,Dacoity,BNS 310(2),SI Ravi Kumar,Bidar District & Sessions Court,12,29,2025-06-23,Filed
CS202500523,FIR202501053,P006500,Fraud,BNS 318(4),SI Prakash Sharma,Bengaluru Rural District & Sessions Court,12,17,2025-06-23,Pending Scrutiny
CS202500604,FIR202501191,P009473,Fraud,BNS 318(4),SI Prakash Sharma,Chamarajanagar District & Sessions Court,16,19,2025-06-23,Filed
CS202500767,FIR202501579,P000057,Dacoity,BNS 310(2),PI Suresh Kulkarni,Bidar District & Sessions Court,2,23,2025-06-23,Filed
CS202500682,FIR202501419,P006592,Assault,"BNS 115(2), BNS 117(2)",PI Ramesh Gowda,Ballari District & Sessions Court,4,13,2025-06-23,Accepted
CS202500810,FIR202501704,P004710,Murder,BNS 103(1),SI Ganesh Rao,Belagavi District & Sessions Court,4,28,2025-06-24,Accepted
CS202500794,FIR202501658,P001662,Murder,BNS 103(1),PI Harish Naik,Belagavi District & Sessions Court,3,6,2025-06-24,Pending Scrutiny
CS202500589,FIR202501250,P005289,NDPS,NDPS Act Sec 20(b),PI Chetan Kumar,Bengaluru Urban District & Sessions Court,11,22,2025-06-25,Pending Scrutiny
CS202500469,FIR202500959,P001668,Fraud,BNS 318(4),PI Chetan Kumar,Bengaluru Urban District & Sessions Court,5,18,2025-06-25,Filed
CS202500823,FIR202501716,P001228,Dacoity,BNS 310(2),SI Ganesh Rao,Bengaluru Urban District & Sessions Court,6,21,2025-06-25,Pending Scrutiny
CS202500475,FIR202500922,P003895,NDPS,NDPS Act Sec 20(b),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,7,29,2025-06-25,Filed
CS202500868,FIR202501777,P009975,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Lakshmi Devi,Ballari District & Sessions Court,11,19,2025-06-25,Accepted
CS202500551,FIR202501152,P002496,Theft,BNS 303(2),SI Prakash Sharma,Bengaluru Urban District & Sessions Court,16,24,2025-06-25,Pending Scrutiny
CS202500479,FIR202500978,P008235,Assault,"BNS 115(2), BNS 117(2)",PI Lakshmi Devi,Bidar District & Sessions Court,6,10,2025-06-26,Accepted
CS202500547,FIR202501153,P001878,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Chetan Kumar,Bengaluru Urban District & Sessions Court,11,27,2025-06-26,Filed
CS202500825,FIR202501721,P002974,Burglary,"BNS 331(3), BNS 331(4)",SI Mahesh Bhat,Belagavi District & Sessions Court,3,30,2025-06-26,Accepted
CS202500617,FIR202501289,P000811,POCSO,"POCSO Act Sec 4, BNS 64",SI Mahesh Bhat,Bidar District & Sessions Court,2,29,2025-06-26,Filed
CS202500633,FIR202501346,P004433,Assault,"BNS 115(2), BNS 117(2)",PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,4,3,2025-06-26,Accepted
CS202500487,FIR202500993,P008555,Theft,BNS 303(2),PI Naveen Patil,Bengaluru Rural District & Sessions Court,2,11,2025-06-26,Filed
CS202500466,FIR202500958,P005455,NDPS,NDPS Act Sec 20(b),PI Lakshmi Devi,Chikkaballapura District & Sessions Court,10,6,2025-06-27,Accepted
CS202500716,FIR202501494,P000492,Burglary,"BNS 331(3), BNS 331(4)",SI Mahesh Bhat,Ballari District & Sessions Court,14,12,2025-06-27,Pending Scrutiny
CS202500534,FIR202501110,P000306,Theft,BNS 303(2),SI Divya Hegde,Bengaluru Rural District & Sessions Court,18,30,2025-06-27,Filed
CS202500610,FIR202501254,P009831,Theft,BNS 303(2),SI Divya Hegde,Belagavi District & Sessions Court,3,13,2025-06-27,Accepted
CS202500509,FIR202501062,P008583,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Chetan Kumar,Bengaluru Urban District & Sessions Court,15,26,2025-06-27,Accepted
CS202500563,FIR202501184,P009521,Dacoity,BNS 310(2),SI Mahesh Bhat,Bidar District & Sessions Court,10,28,2025-06-27,Filed
CS202500465,FIR202500954,P005624,Vehicle Theft,BNS 303(2),PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,10,17,2025-06-27,Filed
CS202500788,FIR202501648,P000794,POCSO,"POCSO Act Sec 4, BNS 64",SI Ganesh Rao,Bidar District & Sessions Court,14,7,2025-06-28,Returned for Correction
CS202500636,FIR202501336,P005619,Dacoity,BNS 310(2),SI Prakash Sharma,Bengaluru Rural District & Sessions Court,18,7,2025-06-28,Pending Scrutiny
